region,year,GenDebt,GDPGrowth,GenSpend,Inflation,GovRevenue,PopGrowth,UrbanPopGrowth,Unemp,AgeDepRatio,HealthSpend,MiliSpend,EduSpend,Corruption
Bulgaria,2015,25.35,3.397553259,37.32952159,-0.104633261,34.55493694,-0.638069468,-0.178845947,9.143,30.67531728,7.39,1.245933607,3.912084341,41
Bulgaria,2016,27,3.026628931,32.72467372,-0.798649886,34.26435905,-0.701382098,-0.244263619,7.575,31.46231513,7.46,1.243845808,3.393708229,41
Bulgaria,2017,22.91,2.745926447,32.02847973,2.061596194,32.85192261,-0.730443175,-0.274061375,6.164,32.12796911,7.49,1.222208548,4.077559948,43
Bulgaria,2018,20.07,2.549464347,34.32653568,2.814544738,34.44948893,-0.722080405,-0.269102082,5.211,32.80884495,7.33,1.449294138,4.047090054,42
Bulgaria,2019,18.31,3.788850365,35.86879568,3.103729448,34.91115644,-0.703905641,-0.252969936,4.23,33.49178171,7.09,3.133568989,4.199029922,43
Bulgaria,2020,23.19,-3.215737434,37.81082077,1.672440969,34.87984266,-0.600241518,-0.151331327,5.125,33.94848235,8.48,1.593461166,4.505139828,44
Canada,2012,87.18,1.755661325,40.92620352,1.515678231,38.40168651,1.083746522,1.134288828,7.392,21.52550993,10.50971508,1.118404598,4.692587376,84
Canada,2013,87.6,2.325813574,39.96074117,0.938291898,38.46603517,1.053380981,1.103902207,7.143,22.23170325,10.41174984,1.0023672,4.589009762,81
Canada,2014,85.54,2.873466772,38.3704831,1.906635907,38.54537926,1.001422847,1.050685001,7.023,22.92955965,10.25765324,0.989925299,4.843589783,81
Canada,2015,92.03,0.649970994,40.01841803,1.125241361,39.95657244,0.760300145,0.810767766,6.945,23.62880565,10.73869705,1.152709374,4.739379883,83
Canada,2016,92.4,1.038550935,40.7532331,1.428759547,40.30006887,1.13153974,1.181983616,7.038,24.3182237,11.0319252,1.164161567,4.816420078,82
Canada,2017,90.94,3.033834903,40.45540565,1.596884129,40.34296269,1.195435755,1.256918557,6.426,24.98618158,10.90631104,1.351896465,4.959969997,82
Canada,2018,90.78,2.742963431,40.6623503,2.268225672,41.0222416,1.433226157,1.508182151,5.837,25.64886923,10.90542507,1.317678106,4.888979912,81
Canada,2019,90.21,1.908431925,40.58964463,1.949269024,40.57235528,1.461712599,1.548884982,5.69,26.36977156,11.00887775,1.284512244,4.772930145,77
Canada,2020,118.87,-5.038233441,52.36234461,0.716999632,41.41327712,1.084368971,1.182503196,9.657,27.19364141,13.0351181,1.400835686,4.887949944,77
